lf_indekso;;;;;;;;;;;
lf_indekso;;;;;;;;;;;
jaro;monato;n-ro;paĝo(j);aŭtoro(j);titolo;tradukis;fontlingvo;rubriko;ŝlosilvorto;recenzita verko/filmo;tipologio
01 - 1970;junio;1;2;La Patrolo;Enkonduko;;;REDAKCIE;redakcie;;anonco
01 - 1970;junio;1;3-4;Nicolino Rossi;Du novaj poeziaĵoj (Kaliko, La kisoj de l'nokto);;;BELETRO;originala poezio;;poezio originala
01 - 1970;junio;1;4-7;Giorgio Silfer;Gabriela;;;BELETRO;originala prozo;;prozo originala
01 - 1970;junio;1;7-9;Giuseppe Ungaretti;Verkoj;Carlo Minnaja, Gaudenzio Pisoni, Nicolino Rossi;itala;BELETRO;tradukita poezio;;poezio tradukita
01 - 1970;junio;1;10;Lambert Mac Namara;Por instrui lingvon al infano;;;DIDAKTIKO;pedagogio;;eseo originala
01 - 1970;junio;1;11;Alec Coppel;David Niven filologo;;;LA SEPA ARTO;kinematografio;;eseo originala
01 - 1970;junio;1;12;Asterisko;M’illumino d’immenso;;;REDAKCIE;asterisko;;eseo originala
01 - 1970;aŭgusto;2;2;La Direktoro;Enkonduko;;;REDAKCIE;redakcie;;anonco
01 - 1970;aŭgusto;2;3;Nicolino Rossi;Unu, du kaj… tria;;;BELETRO;originala poezio;;poezio originala
01 - 1970;aŭgusto;2;4;Nicolino Rossi;Misrenkontoj;;;BELETRO;originala poezio;;poezio originala
01 - 1970;aŭgusto;2;5-8;Giorgio Silfer;Virinoj de la Kvina Avenuo (1);;;BELETRO;originala prozo;;prozo originala
01 - 1970;aŭgusto;2;9-11;Ugo Foscolo;Pri la tomboj;Luigi Minnaja;itala;BELETRO;tradukita poezio;;poezio tradukita
01 - 1970;aŭgusto;2;11-12;István Szerdahelyi;La socilingvistikaj problemoj;;;LINGVISTIKO;lingvistiko;;eseo originala
01 - 1970;aŭgusto;2;13-14;Nizo;Venecio ĉe la ĉapitro 31-a ekspozicio batas la horo de la televido por la italaj filmoj;;;LA SEPA ARTO;kinematografio;;eseo originala
01 - 1970;aŭgusto;2;14-15;Carlo Minnaja;Freŝa spiro el la Nordo;;;EN VITRINO;recenzo;Johan Hammond Rosbach (1970), Disko;recenzo
01 - 1970;aŭgusto;2;16;Asterikso;Modifi elinterne;;;REDAKCIE;asterisko;;eseo originala
01 - 1970;oktobro;3;2;La Direktoro;Enkonduko;;;REDAKCIE;redakcie;;anonco
01 - 1970;oktobro;3;3;;Ĉu novaj vojoj kaj skemoj por matura poeto?;;;BELETRO;originala poezio;;poezio originala
01 - 1970;oktobro;3;3-4;Nicolino Rossi;Ĉu ŝafi?;;;BELETRO;originala poezio;;poezio originala
01 - 1970;oktobro;3;5-7;Giorgio Silfer;Virinoj de la Kvina Avenuo (2);;;ESEO;originala rakonto;;eseo originala
01 - 1970;oktobro;3;8;Eugenio Montale;La domo doganista;Gaudenzio Pisoni;itala;BELETRO;tradukita poezio;;poezio tradukita
01 - 1970;oktobro;3;9-10;Gaudenzio Pisoni;La genio de Eugenio Montale;Gaudenzio Pisoni;itala;BELETRO;tradukita poezio;;poezio tradukita
01 - 1970;oktobro;3;11-12;István Szerdahelyi;Ci: ĉu mortnaskita?;;;LINGVISTIKO;lingvistiko;;eseo originala
01 - 1970;oktobro;3;13;Clelia Conterno;Ludovik L. Zamenhof (1859 - 1917);;;MEMORE PRI;galerio;;nekrologo
01 - 1970;oktobro;3;14-15;Carlo Minnaja;Krimo kaj puno;;;EN VITRINO;recenzo;Antonio Machado (1969), La lando de Alvargonzalez,  tr. F. de Diego;recenzo
01 - 1970;oktobro;3;15-16;Asterikso;Pro la etika forto;;;REDAKCIE;asterikso;;eseo originala
01 - 1970;decembro;4;2;La Redakcio;Enkonduko;;;REDAKCIE;redakcie;;anonco
01 - 1970;decembro;4;3;;Eta Vivo;;;EN VITRINO;recenzo;Clelia Conterno (1969), Eta Vivo;recenzo
01 - 1970;decembro;4;3-4;Clelia Conterno;"Ekzamenoj en instituto por kriplaj knaboj (specimeno el la lasta verslibro ""Eta Vivo"")";;;BELETRO;originala poezio;;poezio originala
01 - 1970;decembro;4;5;Nicolino Rossi;Giacomo Leopardi;;;HISTORIO;biografio;;nekrologo
01 - 1970;decembro;4;6-7;Giacomo Leopardi;Festotaga vespero;Nicolino Rossi;itala;TRADUKARTO;traduka poezio;;poezio tradukita
01 - 1970;decembro;4;8-11;Giorgio Silfer;SF = Science Fiction;;;ESEO;eseo;;eseo originala
01 - 1970;decembro;4;12-14;Carlo Minnaja;Rigardo malantaŭen tra 1970;;;EN VITRINO;recenzoj;;recenzo
01 - 1970;decembro;4;15-16;István Szerdahelyi;Esperanto: Universitata Fako;;;LINGVISTIKO;lingvistiko;;eseo originala
01 - 1970;decembro;4;17;Clelia Conterno;Antoni Grabowski (1857 - 1921);;;MEMORE PRI;galerio;;nekrologo
01 - 1970;decembro;4;18-19;H. Sonnabend;Gepatra kunlaboro;;;DIDAKTIKO;pedagogio;;eseo originala
01 - 1970;decembro;4;20;Asterikso;Obskura Esperanta autoro;;;REDAKCIE;asterisko;;eseo originala
02 - 1971;februaro;5;2;La Redakcio;Adoleska Gazeto… ...salutas vin.;;;NOVJARA SALUTO;saluto;;anonco
02 - 1971;februaro;5;3-4;Nicolino Rossi;Kroze tra ĝardeno patrina / Ampoemo;;;BELETRO;originala poezio;;poezio originala
